current,speed,temperature,vibration,system_condition,current_result,speed_result,temperature_result,vibration_result
14.993826173756904,1142.1203897606626,31.353293382011422,0.7411567514911381,Normal,Normal,Normal,Normal,Normal
6.466261584278254,2004.3855405261813,69.79521870002465,1.2991293258884806,Pre-Failure,Normal,Pre-Failure,Normal,Normal
20.32665584042933,964.4103999465664,53.03257014950356,0.5096948588763908,Pre-Failure,Pre-Failure,Normal,Normal,Normal
17.063607556058088,1688.8936244044266,63.026419140279536,0.6337604056345736,Normal,Normal,Normal,Normal,Normal
23.863909750405814,932.5145534811772,29.24246431853699,2.2008780974333866,Pre-Failure,Pre-Failure,Normal,Normal,Pre-Failure
18.041925547348654,1015.1400912792351,29.204269905119663,1.9040520297290457,Normal,Normal,Normal,Normal,Normal
16.688771466527168,1001.3642978007828,27.12089292427246,1.2815341414542978,Normal,Normal,Normal,Normal,Normal
5.41783219292529,1248.0840258825378,66.60304584414678,1.1606080566202643,Normal,Normal,Normal,Normal,Normal
16.202385831187875,1637.1193835533863,109.68061175111164,2.0965867254022927,Pre-Failure,Normal,Normal,Pre-Failure,Pre-Failure
14.05248664466158,1408.7110796190418,98.55064819207206,1.0433410958375722,Pre-Failure,Normal,Normal,Pre-Failure,Normal
4.3445239333763155,1632.1130724988943,95.84823854862697,1.1854778115025175,Pre-Failure,Normal,Normal,Pre-Failure,Normal
19.796400387105265,714.7322656722683,54.78062317122016,0.13232357116236576,Normal,Normal,Normal,Normal,Normal
4.056499800628922,1118.1103621877296,109.3169536058135,1.304282062057449,Pre-Failure,Normal,Normal,Pre-Failure,Normal
2.6851839864482794,1709.3512253198192,36.16247550048615,1.7953892467373886,Failure,Failure,Normal,Normal,Normal
21.09963985236335,2120.727776605113,24.952986453228792,0.4895207758705571,Failure,Pre-Failure,Pre-Failure,Failure,Normal
12.586358374789155,1488.0643179439614,112.45853467972861,2.123314829543794,Pre-Failure,Normal,Normal,Pre-Failure,Pre-Failure
22.497621526349633,1699.10720004078,76.70210009232366,0.1681838962336381,Pre-Failure,Pre-Failure,Normal,Normal,Normal
14.631777729086622,917.2376086950885,51.676817563948205,0.6095815602951409,Normal,Normal,Normal,Normal,Normal
8.793644585743678,1364.0491151258025,25.032800414175934,1.8571951799326183,Normal,Normal,Normal,Normal,Normal
7.943025933244543,1053.3550349626216,24.408007874115356,1.0012036261582724,Failure,Normal,Normal,Failure,Normal
